CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,04-08-66,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,08-12-65,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,08-08-68,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,08-05-65,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,05-09-64,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,07-07-64,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,04-01-64,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,02-06-64,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,11-04-63,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11013,MR.,IAN,JENKINS,08-06-68,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11014,MRS.,SYDNEY,BENNETT,05-09-68,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N
11016,MR.,WYATT,HILL,4/28/1979,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,6/26/1944,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,10-09-44,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
